table	team	project	submission
b9	Liver Sliver Savers	Liver Biopsy Device	submission049
r28	HemoHalt	Hemorrhage Control for Non-compressible Torso Hemorrhage	submission050
w29	The Hex Five	Search and Rescue Hexacopter	submission051
b4	Team Capsulorhexis	Cataract Surgery	submission052
b17	Tracheo	Hybrid Tracheostomy Tube	submission053
w28	Urban Ag Swag	A Six City Urban Agriculture Case Study 	submission054
g29	G-Force 	Gravity Fed System	submission055
b39	Healthy City Initiative Policy Taskfore	Evaluating the Health of Cities of Fulton County	submission056
w17	Foot Soldiers	Feet In - Foul Out	submission058
b18	Isis	Vitalisis	submission059
b24	The A-Team	Bautamon	submission060
b19	AeroVision	Flight Control of AR Drone via Oculus Rift	submission061
w18	Team Bicycle	Smart Bicycle Sign	submission062
b20	LumbarJax	Stand-Alone Lumbar Interbody Fusion Device for Prevention and Correction of Sagittal Imbalance from Loss of Lordosis	submission063
w24	Flying Buzz^(ed)	Near Future Regional Turboprop Aircraft	submission064
g1	WingDings	Canard-Wing Regional Turboprop	submission065
r9	Peritoneal Solutions	Novel Shunt Design for the Management of Refractory Ascites	submission066
w25	Team Phobos	Phobos Impactor CubeSat	submission067
